Ticker,Earnings_Date,EPS_Estimate,EPS_Actual,EPS_Surprise,Surprise_Pct
NVDA,2025-11-19,1.25,NA,NA,NA
NVDA,2025-08-27,1.01,1.05,0.040000000000000036,4.1
NVDA,2025-05-28,0.75,0.81,0.06000000000000005,8.02
NVDA,2025-02-26,0.85,0.89,0.040000000000000036,5.25
NVDA,2024-11-20,0.75,0.81,0.06000000000000005,8.52
NVDA,2024-08-28,0.64,0.68,0.040000000000000036,5.66
NVDA,2024-05-22,0.52,0.6,0.07999999999999996,14.83
NVDA,2024-02-21,0.46,0.52,0.06,11.4
NVDA,2023-11-21,0.34,0.4,0.06,18.73
NVDA,2023-08-23,0.21,0.27,0.060000000000000026,29.35
NVDA,2023-05-24,0.09,0.11,0.020000000000000004,18.8
NVDA,2023-02-22,0.08,0.09,0.009999999999999995,9.45
NVDA,2022-11-16,0.07,0.06,-0.010000000000000009,-17.32
NVDA,2022-08-24,0.05,0.05,0,-1.49
NVDA,2022-05-25,0.13,0.14,0.010000000000000009,4.86
NVDA,2022-02-16,0.12,0.13,0.010000000000000009,7.97
NVDA,2021-11-17,0.11,0.12,0.009999999999999995,5.81
NVDA,2021-08-18,0.08,0.09,0.009999999999999995,14.66
NVDA,2021-05-26,0.08,0.09,0.009999999999999995,11.44
NVDA,2021-02-24,0.07,0.08,0.009999999999999995,10.37
NVDA,2020-11-18,0.06,0.07,0.010000000000000009,14.21
NVDA,2020-08-19,0.05,0.05,0,10.66
NVDA,2020-05-21,0.04,0.05,0.010000000000000002,6.86
NVDA,2020-02-13,0.04,0.05,0.010000000000000002,12.88
NVDA,2019-11-14,0.04,0.04,0,13.17
NVDA,2019-08-15,0.03,0.03,0,8.24
NVDA,2019-05-16,0.02,0.02,0,8.75
NVDA,2019-02-14,0.02,0.02,0,6.5
NVDA,2018-11-15,0.05,0.05,0,-4.09
NVDA,2018-08-16,0.05,0.05,0,5.09
NVDA,2018-05-10,0.04,0.05,0.010000000000000002,23.49
NVDA,2018-02-08,0.03,0.04,0.010000000000000002,29.95
NVDA,2017-11-09,0.03,0.03,0,23.84
NVDA,2017-08-10,0.02,0.03,0.009999999999999998,23.84
NVDA,2017-05-09,0.02,0.02,0,4.53
NVDA,2017-02-09,0.02,0.03,0.009999999999999998,15.49
NVDA,2016-11-10,0.02,0.02,0,37.75
NVDA,2016-08-11,0.01,0.01,0,10.97
NVDA,2016-05-13,0.01,0.01,0,12.97
NVDA,2016-02-17,0.01,0.01,0,19.38
NVDA,2015-11-05,0.01,0.01,0,30.68
NVDA,2015-08-06,0.01,0.01,0,66.67
NVDA,2015-05-07,0.01,0.01,0,NA
NVDA,2015-02-11,0.01,0.01,0,18.52
NVDA,2014-11-06,0.01,0.01,0,10.05
NVDA,2014-08-07,0.01,0.01,0,21.16
NVDA,2014-05-08,0.01,0.01,0,27.87
NVDA,2014-02-12,0.01,0.01,0,32.45
NVDA,2013-11-07,0.01,0.01,0,1.25
NVDA,2013-08-08,NA,0.01,NA,22.34
